Time (Sec);S1;S10;S12;S14;S16;S18;S2;S20;S22;S24;S26;S28;S30;S32;S34;S36;S38;S4;S40;S42;S6;S8;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.013333333333333334;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.023333333333333334;19160.0;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;99.9925784;
0.03333333333333333;19160.0;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;99.9773232;
0.04652533333333333;19160.0;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;99.83079120000005;
0.05652533333333333;19160.0;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;99.83069120000005;
0.06652533333333333;19160.0;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;99.83059120000004;
0.07652533333333332;19160.0;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;99.83049120000004;
0.08652533333333332;19160.0;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;99.83039120000004;
0.09652533333333331;19160.0;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;99.83029120000003;
